timestamp,x,y
0.000,1026,637
0.009,1026,637
0.017,1026,637
0.025,1026,637
0.034,1026,637
0.042,1026,637
0.050,1026,637
0.058,1026,637
0.067,1026,637
0.076,1026,637
0.084,1026,637
0.092,1026,637
0.101,1026,637
0.109,1026,637
0.117,1026,637
0.125,1026,637
0.134,1026,637
0.142,1026,637
0.150,1026,637
0.158,1026,637
0.167,1026,637
0.175,1026,637
0.184,1026,637
0.192,1026,637
0.200,1026,637
0.209,1026,637
0.217,1026,637
0.225,1026,637
0.233,1026,637
0.242,1026,637
0.250,1026,637
0.260,1026,637
0.268,1026,637
0.277,1026,637
0.285,1026,637
0.293,1026,637
0.302,1026,637
0.310,1026,637
0.318,1026,637
0.326,1026,637
0.334,1026,637
0.343,1026,637
0.351,1026,637
0.359,1026,637
0.368,1026,637
0.376,1026,637
0.385,1026,637
0.393,1026,637
0.401,1026,637
0.409,1026,637
0.418,1026,637
0.427,1026,637
0.435,1026,637
0.443,1026,637
0.451,1026,637
0.460,1026,637
0.469,1026,637
0.477,1026,637
0.485,1026,637
0.493,1026,637
0.502,1026,637
0.510,1026,637
0.519,1026,637
0.527,1026,637
0.536,1026,637
0.544,1026,637
0.552,1026,637
0.560,1026,637
0.569,1026,637
0.577,1026,637
0.585,1026,637
0.594,1026,637
0.602,1026,637
0.610,1026,637
0.619,1026,637
0.627,1026,637
0.635,1026,637
0.644,1026,637
0.652,1026,637
0.660,1026,637
0.669,1026,637
0.677,1026,637
0.685,1026,637
0.694,1026,637
0.702,1026,637
0.710,1026,637
0.719,1026,637
0.727,1026,637
0.736,1026,637
0.744,1026,637
0.753,1026,637
0.761,1026,637
0.770,1026,637
0.778,1026,637
0.786,1026,637
0.794,1026,637
0.803,1026,637
0.811,1026,637
0.819,1026,637
0.828,1026,637
0.836,1026,637
0.844,1026,637
0.852,1026,637
0.860,1026,637
0.869,1026,637
0.877,1026,637
0.885,1026,637
0.894,1026,637
0.902,1026,637
0.910,1026,637
0.919,1026,637
0.927,1026,637
0.936,1026,637
0.944,1026,637
0.952,1026,637
0.960,1026,637
0.969,1026,637
0.977,1026,637
0.985,1026,637
0.993,1026,637
1.002,1026,637
1.010,1026,637
1.018,1026,637
1.027,1026,637
1.035,1026,637
1.044,1026,637
1.052,1026,637
1.061,1026,637
1.070,1026,637
1.078,1026,637
1.086,1026,637
1.095,1026,637
1.103,1026,637
1.111,1026,637
1.119,1026,637
1.128,1026,637
1.136,1026,637
1.144,1026,637
1.152,1026,637
1.160,1026,637
1.169,1026,637
1.177,1026,637
1.185,1026,637
1.193,1026,637
1.202,1026,637
1.210,1026,637
1.219,1026,637
1.227,1026,637
1.235,1026,637
1.244,1026,637
1.252,1026,637
1.260,1026,637
1.269,1026,637
1.277,1026,637
1.286,1026,637
1.294,1026,637
1.302,1026,637
1.311,1026,637
1.319,1026,637
1.327,1026,637
1.336,1026,637
1.344,1026,637
1.352,1026,637
1.361,1026,637
1.369,1026,637
1.378,1026,637
1.386,1026,637
1.394,1027,637
1.402,1027,635
1.411,1024,634
1.419,1021,633
1.427,1019,633
1.436,1016,631
1.444,1014,631
1.452,1010,630
1.461,1009,630
1.469,1005,629
1.477,1002,627
1.486,1000,627
1.494,996,627
1.502,992,627
1.511,987,627
1.519,982,627
1.527,978,627
1.536,971,627
1.544,971,627
1.552,968,627
1.561,965,628
1.569,959,629
1.577,954,630
1.586,953,630
1.594,951,630
1.602,948,631
1.610,948,631
1.619,947,631
1.627,945,631
1.635,941,631
1.643,937,631
1.652,932,631
1.660,928,631
1.669,925,631
1.677,923,631
1.685,923,631
1.694,914,631
1.702,912,631
1.710,907,631
1.719,900,631
1.727,895,631
1.735,888,631
1.744,881,631
1.752,873,631
1.760,865,631
1.769,857,631
1.777,847,631
1.785,841,631
1.793,835,631
1.802,829,631
1.810,826,631
1.819,823,631
1.827,819,631
1.836,819,631
1.844,815,631
1.853,813,631
1.861,808,631
1.869,803,631
1.878,799,631
1.886,793,631
1.895,789,631
1.903,785,631
1.911,779,631
1.920,776,631
1.928,772,631
1.937,769,631
1.945,764,631
1.954,762,631
1.962,758,630
1.970,755,630
1.978,751,628
1.987,749,628
1.995,744,627
2.003,742,627
2.011,737,626
2.020,734,626
2.028,730,625
2.036,724,624
2.044,720,624
2.053,715,624
2.061,712,624
2.069,707,623
2.078,701,623
2.087,697,623
2.095,692,621
2.103,687,621
2.111,682,619
2.119,678,618
2.128,675,618
2.136,672,617
2.145,668,617
2.153,662,616
2.161,657,615
2.169,652,615
2.178,645,613
2.186,639,611
2.194,634,611
2.202,630,611
2.211,624,610
2.219,621,610
2.227,613,610
2.236,613,610
2.244,609,610
2.252,605,610
2.260,601,610
2.269,595,609
2.278,591,609
2.286,587,608
2.295,585,607
2.303,581,607
2.312,577,607
2.320,573,607
2.329,570,607
2.337,565,607
2.345,561,607
2.353,557,605
2.362,549,605
2.370,542,604
2.379,536,603
2.387,528,603
2.395,521,603
2.404,515,601
2.412,510,600
2.420,504,598
2.428,501,597
2.437,497,595
2.445,491,594
2.453,485,592
2.461,481,591
2.469,476,588
2.478,468,586
2.486,463,584
2.494,456,582
2.503,448,579
2.511,442,577
2.520,433,574
2.528,427,569
2.536,421,567
2.544,413,564
2.553,407,560
2.561,403,558
2.569,398,556
2.578,395,555
2.586,393,553
2.594,389,551
2.603,386,549
2.611,384,547
2.620,382,545
2.629,381,544
2.637,377,541
2.645,375,538
2.653,370,534
2.662,367,529
2.670,365,526
2.678,360,519
2.687,356,517
2.695,353,513
2.704,351,511
2.712,349,509
2.720,347,507
2.728,345,505
2.736,342,503
2.744,339,499
2.753,338,499
2.761,336,496
2.770,333,494
2.779,333,492
2.787,331,490
2.795,330,489
2.804,328,487
2.812,327,485
2.821,327,483
2.829,325,479
2.838,323,477
2.846,323,476
2.854,322,475
2.862,321,471
2.871,321,471
2.880,317,465
2.888,316,463
2.896,315,462
2.904,315,458
2.913,315,458
2.921,314,456
2.929,313,453
2.938,313,451
2.946,312,450
2.954,311,449
2.962,311,447
2.970,311,444
2.979,309,441
2.988,309,437
2.996,308,435
3.005,307,434
3.013,307,430
3.021,307,428
3.030,305,425
3.038,305,424
3.046,304,422
3.054,304,421
3.062,304,421
3.071,304,421
