timestamp,x,y
0.000,858,575
0.012,858,575
0.021,858,575
0.029,858,575
0.037,858,575
0.045,858,575
0.053,858,575
0.062,858,575
0.070,858,575
0.078,858,575
0.086,858,575
0.095,858,575
0.103,858,575
0.112,858,575
0.120,858,575
0.128,858,575
0.137,858,575
0.145,858,575
0.154,858,575
0.162,858,575
0.171,858,575
0.179,858,575
0.188,858,575
0.196,858,575
0.204,858,575
0.212,858,575
0.221,858,575
0.230,858,575
0.238,858,575
0.246,858,575
0.254,858,575
0.262,858,575
0.271,858,575
0.279,858,575
0.288,858,575
0.296,858,575
0.305,858,575
0.313,858,575
0.321,858,575
0.330,858,575
0.338,858,575
0.347,858,575
0.355,858,575
0.364,858,575
0.372,858,575
0.380,858,575
0.388,858,575
0.397,858,575
0.405,858,575
0.414,858,575
0.422,858,575
0.430,858,575
0.439,858,575
0.447,858,575
0.455,858,575
0.464,858,575
0.473,858,575
0.481,858,575
0.489,858,575
0.497,858,575
0.506,858,575
0.514,858,575
0.522,858,575
0.531,858,575
0.539,858,575
0.547,858,575
0.555,858,575
0.564,858,575
0.572,858,575
0.581,858,575
0.589,858,575
0.598,858,575
0.606,858,575
0.615,858,575
0.623,858,575
0.632,858,575
0.640,858,575
0.649,865,564
0.657,872,555
0.665,885,540
0.674,897,525
0.682,909,514
0.690,922,503
0.699,933,491
0.707,941,482
0.715,948,473
0.724,953,467
0.733,959,460
0.741,969,452
0.749,979,439
0.757,987,427
0.765,995,419
0.774,1002,407
0.782,1005,399
0.791,1010,389
0.799,1015,383
0.807,1021,373
0.815,1027,363
0.824,1035,353
0.832,1042,342
0.840,1049,332
0.848,1053,325
0.856,1055,320
0.865,1055,318
0.873,1056,317
0.882,1056,317
0.890,1056,317
0.898,1057,315
0.906,1059,313
0.915,1062,310
0.923,1069,304
0.931,1076,296
0.940,1081,290
0.948,1090,281
0.956,1095,273
0.965,1099,264
0.973,1107,246
0.981,1109,237
0.989,1111,229
0.998,1115,217
1.006,1120,203
1.015,1123,195
1.023,1127,179
1.031,1137,159
1.039,1149,133
1.047,1164,104
1.056,1179,80
1.064,1187,60
1.073,1199,32
1.081,1203,21
1.090,1203,13
1.098,1203,7
1.107,1203,5
1.116,1203,3
1.124,1203,0
1.132,1203,0
1.141,1203,0
1.149,1203,0
1.158,1203,0
1.166,1203,0
1.175,1203,0
1.184,1203,0
1.192,1203,0
1.201,1203,0
1.209,1201,0
1.218,1200,0
1.226,1198,0
1.235,1197,0
1.243,1196,0
1.251,1195,0
1.259,1195,0
1.268,1194,0
1.276,1194,0
1.285,1193,0
1.293,1193,0
1.302,1193,0
1.310,1193,0
1.319,1193,0
1.327,1193,0
1.335,1193,0
1.344,1191,0
1.352,1191,0
1.361,1189,0
1.369,1187,0
1.377,1185,0
1.385,1185,0
1.394,1185,0
1.402,1185,0
1.411,1185,0
1.419,1185,0
1.427,1185,0
1.436,1185,0
1.444,1185,0
1.453,1184,1
1.461,1183,1
1.469,1183,1
1.478,1180,1
1.486,1179,1
1.494,1176,2
1.503,1175,3
1.511,1174,3
1.520,1174,3
1.528,1174,3
1.536,1174,3
1.544,1174,3
1.553,1174,3
1.561,1174,3
1.569,1174,3
1.577,1174,3
1.585,1174,3
1.594,1174,3
1.602,1174,3
1.610,1174,3
1.619,1174,3
1.627,1174,3
1.636,1174,3
1.644,1174,3
1.653,1174,3
1.661,1174,3
1.669,1174,3
1.678,1174,3
1.686,1174,3
1.694,1174,3
1.703,1174,3
1.711,1174,3
1.719,1174,3
1.728,1174,3
1.736,1174,3
1.745,1174,3
1.753,1174,3
1.762,1174,3
1.789,1174,3
1.797,1174,3
1.805,1174,3
1.814,1174,3
1.822,1174,3
1.831,1174,3
1.839,1174,3
1.848,1174,3
1.856,1174,3
1.865,1174,3
1.873,1174,3
1.882,1174,3
1.890,1174,3
1.899,1174,3
1.907,1174,3
1.916,1174,3
1.924,1174,3
1.932,1174,3
1.940,1174,3
1.949,1173,3
1.957,1168,11
1.965,1158,19
1.974,1151,26
1.982,1145,33
1.991,1136,43
1.999,1127,51
2.008,1117,60
2.016,1109,69
2.024,1101,74
2.033,1090,81
2.041,1081,89
2.052,1060,105
2.071,1033,123
2.092,1013,139
2.103,1005,146
2.112,1005,146
2.121,1005,147
2.129,1005,148
2.138,1005,148
2.146,1005,148
2.154,1005,149
2.163,1005,149
2.171,1005,150
2.180,1005,150
2.188,1005,151
2.196,1005,151
2.205,1006,151
2.213,1009,151
2.221,1014,151
2.230,1023,148
2.239,1031,145
2.249,1044,136
2.273,1097,83
2.285,1113,66
2.294,1139,34
2.303,1149,18
2.311,1155,7
2.320,1161,0
2.328,1165,0
2.338,1168,0
2.347,1169,0
2.356,1170,0
2.365,1171,0
2.373,1173,0
2.382,1174,0
2.390,1175,0
2.399,1175,0
2.407,1175,0
2.415,1175,0
2.424,1175,0
2.437,1175,0
2.448,1175,0
2.457,1175,0
2.465,1175,0
2.473,1175,0
2.482,1175,0
2.490,1175,0
2.499,1175,0
2.507,1175,0
2.516,1175,0
2.524,1175,0
2.533,1175,0
2.541,1175,0
2.550,1175,0
2.558,1175,0
2.567,1175,0
2.576,1175,0
2.584,1175,0
2.593,1175,0
2.601,1175,0
2.610,1175,0
2.618,1175,0
2.627,1175,0
2.635,1175,0
2.644,1175,0
2.652,1175,0
2.661,1175,0
2.669,1175,0
2.678,1175,0
2.686,1175,0
2.695,1175,0
2.703,1173,0
2.712,1171,3
2.720,1161,10
2.728,1155,14
2.736,1147,19
2.745,1139,26
2.753,1130,30
2.762,1121,36
2.770,1109,40
2.778,1099,45
2.787,1079,52
2.795,1054,63
2.803,1031,74
2.811,1005,84
2.820,978,93
2.828,955,103
2.840,921,122
2.848,907,130
2.857,894,139
2.865,884,145
2.874,874,151
2.882,863,159
2.890,850,167
2.899,840,175
2.907,830,183
2.915,820,191
2.924,809,199
2.932,797,207
2.940,786,217
2.949,771,230
2.957,758,243
2.965,745,256
2.974,731,268
2.982,715,281
2.990,701,293
2.999,689,305
3.007,679,312
3.015,675,316
3.024,675,317
3.032,675,317
3.040,674,318
3.049,674,318
3.057,674,319
3.066,674,320
3.074,674,321
3.083,674,321
3.091,671,326
3.099,671,326
3.107,669,329
3.116,665,335
3.124,663,339
3.132,657,347
3.140,650,354
3.148,642,363
3.157,619,387
3.166,603,403
3.174,603,403
3.182,597,409
3.191,589,419
3.199,585,428
3.207,585,431
3.216,585,431
3.224,585,431
3.232,585,432
3.241,587,432
3.249,589,432
3.258,598,427
3.266,608,419
3.275,615,414
3.283,631,402
3.292,663,383
3.300,696,359
3.308,739,331
3.317,780,302
3.325,831,265
3.333,881,228
3.341,930,189
3.350,971,153
3.358,1009,117
3.367,1070,53
3.375,1091,33
3.384,1091,33
3.392,1106,13
3.400,1115,0
3.409,1123,0
3.417,1123,0
3.425,1123,0
3.434,1123,0
3.443,1123,0
3.452,1123,0
3.460,1123,0
3.468,1123,0
3.476,1123,0
3.485,1123,0
3.493,1123,0
3.502,1123,0
3.510,1125,0
3.519,1128,0
3.527,1129,0
3.535,1130,0
3.544,1130,0
3.552,1130,0
3.561,1130,0
3.569,1130,0
3.577,1130,0
3.586,1131,0
3.594,1133,0
3.603,1145,0
3.611,1152,0
3.619,1162,0
3.628,1162,0
3.636,1171,0
3.644,1174,0
3.652,1174,0
3.661,1174,0
3.669,1175,0
3.677,1176,0
3.686,1177,0
3.694,1177,0
3.703,1177,0
3.711,1177,0
3.719,1178,0
3.727,1178,0
3.736,1178,0
3.744,1178,0
3.753,1178,0
3.761,1178,0
3.769,1178,0
3.778,1178,0
3.786,1178,0
3.794,1178,0
3.802,1178,0
3.811,1178,0
3.819,1178,0
3.828,1178,0
3.836,1178,0
3.844,1178,0
3.853,1178,0
3.861,1178,0
3.869,1178,0
3.878,1178,0
3.886,1178,0
3.895,1178,0
3.903,1178,0
3.912,1178,0
3.920,1178,0
3.928,1178,0
3.937,1178,0
3.945,1173,4
3.953,1167,11
3.962,1159,13
3.971,1155,17
3.979,1138,29
3.988,1130,35
3.996,1120,40
4.005,1120,40
4.013,1099,51
4.021,1091,55
4.029,1078,62
4.038,1060,71
4.046,1037,81
4.055,1011,94
4.063,987,107
4.072,960,124
4.080,934,137
4.088,907,153
4.097,880,171
4.105,853,187
4.113,827,204
