time,x,y,dx,dy,speed,dt
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,782.0,757.0,-1.0,0.0,1.0,0.001
1761282800.0,782.0,747.0,0.0,-10.0,10.0,0.001
1761282800.0,785.0,729.0,3.0,-18.0,18.248287,0.001
1761282800.0,794.0,715.0,9.0,-14.0,16.643316,0.001
1761282800.0,801.0,690.0,7.0,-25.0,25.96151,0.001
1761282800.0,806.0,675.0,5.0,-15.0,15.811388,0.001
1761282800.0,811.0,661.0,5.0,-14.0,14.866069,0.001
1761282800.0,819.0,635.0,8.0,-26.0,27.202942,0.001
1761282800.0,824.0,619.0,5.0,-16.0,16.763054,0.001
1761282800.0,829.0,599.0,5.0,-20.0,20.615528,0.001
1761282800.0,846.0,552.0,17.0,-47.0,49.979996,0.001
1761282800.0,857.0,529.0,11.0,-23.0,25.495098,0.001
1761282800.0,886.0,478.0,29.0,-51.0,58.66856,0.001
1761282800.0,899.0,458.0,13.0,-20.0,23.853722,0.001
1761282800.0,913.0,434.0,14.0,-24.0,27.784887,0.001
1761282800.0,940.0,390.0,27.0,-44.0,51.62364,0.001
1761282800.0,956.0,365.0,16.0,-25.0,29.681644,0.001
1761282800.0,979.0,331.0,23.0,-34.0,41.04875,0.001
1761282800.0,987.0,318.0,8.0,-13.0,15.264338,0.001
1761282800.0,993.0,309.0,6.0,-9.0,10.816654,0.001
1761282800.0,1009.0,292.0,16.0,-17.0,23.345236,0.001
1761282800.0,1013.0,290.0,4.0,-2.0,4.472136,0.001
1761282800.0,1016.0,286.0,3.0,-4.0,5.0,0.001
1761282800.0,1023.0,283.0,7.0,-3.0,7.615773,0.001
1761282800.0,1026.0,282.0,3.0,-1.0,3.1622777,0.001
1761282800.0,1029.0,280.0,3.0,-2.0,3.6055512,0.001
1761282800.0,1032.0,278.0,3.0,-2.0,3.6055512,0.001
1761282800.0,1037.0,274.0,5.0,-4.0,6.4031243,0.001
1761282800.0,1050.0,265.0,13.0,-9.0,15.811388,0.001
1761282800.0,1053.0,262.0,3.0,-3.0,4.2426405,0.001
