x,y,dx,dy,speed,dt
842,820,-4.0,-3.0,587.8162401547215,0.008506059646606445
830,811,-12.0,-9.0,1789.4297334964022,0.008382558822631836
825,808,-5.0,-3.0,706.9660882337175,0.008247852325439453
818,805,-7.0,-3.0,920.9152857353807,0.008269786834716797
807,800,-11.0,-5.0,1505.0624553568618,0.008028268814086914
804,797,-3.0,-3.0,504.40558985649153,0.008411169052124023
799,793,-5.0,-4.0,751.9500952391518,0.008515357971191406
795,792,-4.0,-1.0,480.951092080837,0.008572816848754883
793,788,-2.0,-4.0,547.3126086775956,0.00817108154296875
791,786,-2.0,-2.0,349.52662570435297,0.008092164993286133
789,784,-2.0,-2.0,346.595863124677,0.008160591125488281
788,778,-1.0,-6.0,745.2737186889826,0.008161783218383789
786,773,-2.0,-5.0,636.5768077116137,0.00845956802368164
784,765,-2.0,-8.0,991.1768687749337,0.008319616317749023
782,758,-2.0,-7.0,859.0759067366879,0.008474349975585938
781,752,-1.0,-6.0,743.6228165169472,0.008179903030395508
780,741,-1.0,-11.0,1360.8154710325637,0.008116722106933594
777,735,-3.0,-6.0,829.2928138085898,0.008089065551757812
772,726,-5.0,-9.0,1253.7162548734857,0.008212089538574219
771,722,-1.0,-4.0,500.37783680884974,0.008239984512329102
769,716,-2.0,-6.0,738.6080378201239,0.008562803268432617
769,713,0.0,-3.0,353.6512647554806,0.008482933044433594
769,708,0.0,-5.0,606.043231996301,0.008250236511230469
768,704,-1.0,-4.0,482.9658563395609,0.008537054061889648
768,701,0.0,-3.0,364.1204965708829,0.008239030838012695
768,691,0.0,-10.0,1251.844202357857,0.007988214492797852
768,683,0.0,-8.0,977.2661132954711,0.008186101913452148
768,679,0.0,-4.0,469.3058826820331,0.008523225784301758
772,661,4.0,-18.0,2173.1193456068663,0.008485078811645508
775,654,3.0,-7.0,933.3197253766958,0.008159875869750977
778,649,3.0,-5.0,717.270870057695,0.008129358291625977
780,642,2.0,-7.0,902.9480447422549,0.008062601089477539
784,635,4.0,-7.0,932.0202834110468,0.00865030288696289
787,632,3.0,-3.0,479.996892739923,0.008838891983032227
790,629,3.0,-3.0,522.2894779885288,0.008123159408569336
794,621,4.0,-8.0,1049.4585685287468,0.008522748947143555
797,613,3.0,-8.0,1007.7940629657836,0.008477926254272461
801,606,4.0,-7.0,947.6923917582982,0.008507251739501953
804,595,3.0,-11.0,1283.4788905515336,0.008883476257324219
812,582,8.0,-13.0,1777.9303506765268,0.008585453033447266
819,570,7.0,-12.0,1706.5202341404383,0.008140802383422852
827,559,8.0,-11.0,1596.884595120255,0.00851750373840332
842,540,15.0,-19.0,2672.9150031488557,0.009056568145751953
852,529,10.0,-11.0,1813.0560789495216,0.008199453353881836
861,520,9.0,-9.0,1230.1206141675077,0.01034688949584961
872,509,11.0,-11.0,1887.3093143779054,0.008242607116699219
887,495,15.0,-14.0,2340.2382898731175,0.00876760482788086
900,484,13.0,-11.0,2066.1987142280823,0.008241891860961914
912,472,12.0,-12.0,1954.251413068354,0.008683919906616211
917,467,5.0,-5.0,863.2613810565435,0.008191108703613281
937,455,20.0,-12.0,2563.5371039917427,0.009098291397094727
946,450,9.0,-5.0,1332.5208344759571,0.007726430892944336
957,444,11.0,-6.0,1542.7252535184741,0.008121967315673828
964,440,7.0,-4.0,703.6259581497659,0.011458158493041992
1023,415,59.0,-25.0,1685.4250593790957,0.03801894187927246
1035,415,12.0,0.0,1428.6587567414135,0.008399486541748047
1047,415,12.0,0.0,1410.996271481035,0.008504629135131836
1059,415,12.0,0.0,1474.272056239016,0.008139610290527344
1067,415,8.0,0.0,889.8727557217493,0.008990049362182617
1084,415,17.0,0.0,1911.1519472513335,0.008895158767700195
1086,417,2.0,2.0,283.2955201793735,0.009984016418457031
1088,420,2.0,3.0,442.3805217751561,0.008150339126586914
1090,424,2.0,4.0,469.05470679166183,0.009534358978271484
1090,426,0.0,2.0,234.7317346167837,0.008520364761352539
1090,433,0.0,7.0,791.6341673856773,0.00884246826171875
1092,446,2.0,13.0,1554.9326603496759,0.008458852767944336
1092,458,0.0,12.0,1412.183945456076,0.008497476577758789
1092,470,0.0,12.0,1410.1660876386866,0.008509635925292969
1092,484,0.0,14.0,1621.613763773439,0.00863337516784668
1092,496,0.0,12.0,1460.0309807675571,0.008219003677368164
1092,508,0.0,12.0,1477.6046736928631,0.008121252059936523
1095,522,3.0,14.0,1598.8629967248205,0.008955001831054688
